airport_code,airport_name,latitude,longitude
AFY,Afyon Airport,38.7264,30.6011
AFZ,Sabzevar Airport,36.1681,57.5952
AGA,Agadir-Al Massira Airport,30.325,-9.41307
AGB,Augsburg Airport,48.4253,10.9317
AGC,Allegheny County Airport,40.3544,-79.9302
AGD,Anggi Airport,-1.3858,133.874
AGE,Wangerooge Airport,53.7828,7.91389
AGF,Agen La Garenne Airport,44.1747,0.590556
AGG,Angoram Airport,-4.05583,144.074
AGH,Angelholm-Helsingborg Airport,56.2961,12.8471
AGI,Wageningen Airstrip,5.84113,-56.6733
AGJ,Aguni Airport,26.5925,127.241
AGK,Kagua Airport,-6.39639,143.854
AGL,Wanigela Airport,-9.3375,149.156
AGN,Angoon Seaplane Base,57.5036,-134.585
AGO,Magnolia Municipal Airport,33.228,-93.217
AGP,Malaga Airport,36.6749,-4.49911
AGQ,Agrinion Airport,38.602,21.3512
AGR,Agra Airport,27.1558,77.9609
AGS,Augusta Regional Airport at Bush Field,33.3699,-81.9645
AGT,Guarani  International Airport,-25.4545,-54.8427
AGU,Lic. Jesus Teran Peredo International Airport,21.7056,-102.318
AGV,Oswaldo Guevara Mujica Airport,9.55338,-69.2379
AGW,Agnew Airport,-12.1456,142.149
AGX,Agatti Aerodrome,10.8237,72.176
AGZ,Aggeneys Airport,-29.2818,18.8139
AHB,Abha Regional Airport,18.2404,42.6566
AHC,Amedee Army Airfield,40.2662,-120.153
AHD,Ardmore Downtown Executive Airport,34.147,-97.1227
AHE,Ahe Airport,-14.4281,-146.257
AHF,Arapahoe Municipal Airport,40.3395,-99.9065
AHH,Amery Municipal Airport,45.2811,-92.3754
AHI,Amahai Airport,-3.348,128.926
AHJ,Hongyuan Airport,32.5315,102.352
AHL,Aishalton Airport,2.48653,-59.3134
AHM,Ashland Municipal Airport,42.1903,-122.661
AHN,Athens Ben Epps Airport,33.9486,-83.3263
AHO,Alghero-Fertilia Airport,40.6321,8.29077
AHS,Ahuas Airport,15.4722,-84.3522
AHU,Cherif Al Idrissi Airport,35.1771,-3.83952
AHY,Ambatolahy Airport,-20.0158,45.535
AHZ,Alpe d'Huez Airport,45.0883,6.08472
AIA,Alliance Municipal Airport,42.0532,-102.804
AIC,Ailinglaplap Airok Airport,7.27942,168.826
AID,Anderson Municipal Airport (Darlington Field),40.1086,-85.613
AIE,Aiome Airport,-5.1457,144.731
AIF,Assis Airport,-22.64,-50.4531
AIG,Yalinga Airport,6.52,23.26
AIH,Aiambak Airport,-7.34278,141.268
AII,Ali-Sabieh Airport,11.1469,42.72
AIK,Aiken Municipal Airport,33.6494,-81.685
AIL,Ailigandi Airport,9.2226,-78.0236
AIM,Ailuk Airport,10.2168,169.983
AIN,Wainwright Airport,70.638,-159.995
AIO,Atlantic Municipal Airport,41.4073,-95.0469
AIP,Adampur Airport,31.4331,75.7606
AIR,Aripuana Airport,-10.1883,-59.4573
AIS,Arorae Island Airport,-2.61611,176.803
AIT,Aitutaki Airport,-18.8309,-159.764
AIU,Enua Airport,-19.9678,-158.119
AIV,George Downer Airport,33.1065,-88.1978
AIW,Ai-Ais Airport,-27.995,17.5966
AIZ,Lee C. Fine Memorial Airport,38.096,-92.5495
AJA,Ajaccio Napoleon Bonaparte Airport,41.9236,8.80292
AJF,Al-Jawf Domestic Airport,29.7851,40.1
AJI,Agri Airport,39.6545,43.026
AJJ,Akjoujt Airport,19.733,-14.3832
AJK,Arak Airport,34.1381,49.8473
AJL,Lengpui Airport,23.8406,92.6197
AJN,Ouani Airport,-12.1317,44.4303
AJR,Arvidsjaur Airport,65.5903,19.2819
AJS,Punta Abreojos Airstrip,26.7272,-113.559
AJU,Santa Maria Airport (Sergipe),-10.984,-37.0703
AJY,Mano Dayak International Airport,16.966,8.00011
AKA,Ankang Wulipu Airport,32.7081,108.931
AKB,Atka Airport,52.2203,-174.206
AKC,Akron Fulton International Airport,41.0375,-81.4669
AKD,Akola Airport,20.699,77.0586
AKE,Akieni Airport,-1.13967,13.9036
AKF,Kufra Airport,24.1787,23.314
AKG,Anguganak Airport,-3.5605,142.217
AKH,Prince Sultan Air Base,24.0627,47.5805
AKI,Akiak Airport,60.9029,-161.231
AKJ,Asahikawa Airport,43.6708,142.447
AKK,Akhiok Airport,56.9387,-154.183
AKL,Auckland Airport,-37.0081,174.792
AKM,Zakouma Airport,10.8903,19.8172
AKN,King Salmon Airport,58.6768,-156.649
AKO,Colorado Plains Regional Airport,40.1756,-103.222
AKP,Anaktuvuk Pass Airport,68.1336,-151.743
AKQ,Gunung Batin Airport,-4.61114,105.232
AKR,Akure Airport,7.24674,5.30101
AKS,Auki Gwaunaru'u Airport,-8.70257,160.682
AKT,RAF Akrotiri,34.5904,32.9879
AKU,Aksu Airport,41.2625,80.2917
AKV,Akulivik Airport,60.8186,-78.1486
AKW,Aghajari Airport,30.7444,49.6772
AKX,Aktobe Airport,50.2458,57.2067
AKY,Sittwe Airport,20.1327,92.8726
ALA,Almaty International Airport,43.3521,77.0405
ALB,Albany International Airport,42.7483,-73.8017
ALC,Alicante-Elche Airport,38.2822,-0.558156
ALD,Alerta Airport,-11.683,-69.333
ALE,Alpine-Casparis Municipal Airport,30.3842,-103.684
ALF,Alta Airport,69.9761,23.3717
ALG,Houari Boumediene Airport,36.691,3.21541
ALH,Albany Airport,-34.9433,117.809
ALI,Alice International Airport,27.7409,-98.0269
ALJ,Alexander Bay Airport,-28.575,16.5333
ALK,Asella Airport,7.96213,39.1283
ALL,Albenga Airport,44.0506,8.12743
ALM,Alamogordo-White Sands Regional Airport,32.8399,-105.991
ALN,St. Louis Regional Airport,38.8903,-90.046
ALO,Waterloo Regional Airport,42.5571,-92.4003
ALP,Aleppo International Airport,36.1807,37.2244
ALQ,Alegrete Airport,-29.8127,-55.8934
ALR,Alexandra Aerodrome,-45.2117,169.373
ALS,San Luis Valley Regional Airport,37.4349,-105.867
ALT,Alenquer Airport,-1.917,-54.7231
ALU,Alula Airport,11.9582,50.748
ALW,Walla Walla Regional Airport,46.0949,-118.288
ALX,Thomas C. Russell Field,32.9147,-85.963
ALY,El Nouzha Airport,31.1839,29.9489
ALZ,Alitak Seaplane Base,56.8995,-154.248
AMA,Rick Husband Amarillo International Airport,35.2194,-101.706
AMB,Ambilobe Airport,-13.1884,48.988
AMC,Am Timan Airport,11.034,20.274
AMD,Sardar Vallabhbhai Patel International Airport,23.0772,72.6347
AME,Alto Molocue Airport,-15.6103,37.6814
AMF,Ama Airport,-4.10111,141.67
AMG,Amboin Airport,-4.6,143.5
AMH,Arba Minch Airport,6.03939,37.5905
AMI,Selaparang Airport,-8.56056,116.094
AMJ,Almenara Airport,-16.1839,-40.6672
AMK,Animas Air Park,37.2032,-107.869
AML,Puerto Armuelles Airport,8.26806,-82.8649
AMM,Queen Alia International Airport,31.7226,35.9932
AMN,Gratiot Community Airport,43.3221,-84.688
AMO,Mao Airport,14.1456,15.3144
AMP,Ampanihy Airport,-24.6997,44.7342
AMQ,Pattimura Airport,-3.71026,128.089
AMS,Amsterdam Airport Schiphol,52.3086,4.76389
AMT,Amata Airport,-26.1083,131.207
AMU,Amanab Airport,-3.586,141.214
AMV,Amderma Airport,69.7633,61.5564
AMW,Ames Municipal Airport,41.992,-93.6218
AMX,Ammaroo Airport,-21.7383,135.242
AMY,Ambatomainty Airport,-17.6867,45.6239
AMZ,Ardmore Airport,-37.0297,174.973
ANA,Angama Airstrip,-1.27156,34.9555
